text	labels
The quick brown fox jumps over the lazy dog.	1
She enjoys playing tennis on sunny days.	1
Eating a balanced diet contributes to good health.	1
Traveling to new places can be very exciting.	1
Continuous learning is key to personal growth.	1
Listening to music can improve your mood.	1
Regular exercise is essential for staying healthy.	1
Movies can transport you to different worlds.	1
Reading books is a great way to gain knowledge.	1
Nature is full of beauty and wonders.	1
Quickly the brown fox over the lazy dog jumps.	0
On sunny days playing tennis she enjoys.	0
Balanced diet eating contributes good health to.	0
To new places traveling can be very exciting.	0
Learning continuous is growth to personal key.	0
Music to listening can improve mood your.	0
Exercise regular for staying healthy is essential.	0
You to different worlds can transport movies.	0
Books reading a great way to knowledge gain is.	0
Full of beauty and wonders nature is.	0
